type_charge,km_from,km_to,price
0,1,100,2.1
0,101,200,1.28
0,201,300,1.11
0,301,400,1.04
0,401,500,1
0,501,600,0.98
0,601,700,0.96
0,701,800,0.95
0,801,900,0.94
0,901,1000,0.93
0,1001,1100,0.92
0,1101,1200,0.92
0,1201,1300,0.91
0,1301,1400,0.91
0,1401,1500,0.91
0,1501,1600,0.9
0,1601,1700,0.9
0,1701,1800,0.9
0,1801,1900,0.9
0,1901,2000,0.89
0,2001,2100,0.89
0,2101,2200,0.89
0,2201,2300,0.89
0,2301,2400,0.89
0,2401,2500,0.89
0,2501,2600,0.89
0,2601,2700,0.89
0,2701,2800,0.89
0,2801,2900,0.88
0,2901,3000,0.88
1,1,100,2.05
1,101,200,1.27
1,201,300,1.11
1,301,400,1.04
1,401,500,1
1,501,600,0.98
1,601,700,0.96
1,701,800,0.95
1,801,900,0.94
1,901,1000,0.93
1,1001,1100,0.93
1,1101,1200,0.92
1,1201,1300,0.92
1,1301,1400,0.91
1,1401,1500,0.91
1,1501,1600,0.91
1,1601,1700,0.9
1,1701,1800,0.9
1,1801,1900,0.9
1,1901,2000,0.9
1,2001,2100,0.9
1,2101,2200,0.9
1,2201,2300,0.9
1,2301,2400,0.89
1,2401,2500,0.89
1,2501,2600,0.89
1,2601,2700,0.89
1,2701,2800,0.89
1,2801,2900,0.89
1,2901,3000,0.89
2,1,100,1.87
2,101,200,1.14
2,201,300,1
2,301,400,0.93
2,401,500,0.9
2,501,600,0.88
2,601,700,0.86
2,701,800,0.85
2,801,900,0.84
2,901,1000,0.83
2,1001,1100,0.83
2,1101,1200,0.82
2,1201,1300,0.82
2,1301,1400,0.82
2,1401,1500,0.81
2,1501,1600,0.81
2,1601,1700,0.81
2,1701,1800,0.81
2,1801,1900,0.8
2,1901,2000,0.8
2,2001,2100,0.8
2,2101,2200,0.8
2,2201,2300,0.8
2,2301,2400,0.8
2,2401,2500,0.8
2,2501,2600,0.8
2,2601,2700,0.8
2,2701,2800,0.79
2,2801,2900,0.79
2,2901,3000,0.79
3,1,100,1.47
3,101,200,0.9
3,201,300,0.79
3,301,400,0.74
3,401,500,0.71
3,501,600,0.69
3,601,700,0.68
3,701,800,0.67
3,801,900,0.67
3,901,1000,0.66
3,1001,1100,0.65
3,1101,1200,0.65
3,1201,1300,0.65
3,1301,1400,0.65
3,1401,1500,0.64
3,1501,1600,0.64
3,1601,1700,0.64
3,1701,1800,0.64
3,1801,1900,0.64
3,1901,2000,0.64
3,2001,2100,0.64
3,2101,2200,0.64
3,2201,2300,0.63
3,2301,2400,0.63
3,2401,2500,0.63
3,2501,2600,0.63
3,2601,2700,0.63
3,2701,2800,0.63
3,2801,2900,0.63
3,2901,3000,0.63
4,1,100,1.64
4,101,200,0.91
4,201,300,0.77
4,301,400,0.71
4,401,500,0.67
4,501,600,0.65
4,601,700,0.63
4,701,800,0.62
4,801,900,0.61
4,901,1000,0.61
4,1001,1100,0.6
4,1101,1200,0.6
4,1201,1300,0.59
4,1301,1400,0.59
4,1401,1500,0.59
4,1501,1600,0.59
4,1601,1700,0.58
4,1701,1800,0.58
4,1801,1900,0.58
4,1901,2000,0.58
4,2001,2100,0.58
4,2101,2200,0.58
4,2201,2300,0.57
4,2301,2400,0.57
4,2401,2500,0.57
4,2501,2600,0.57
4,2601,2700,0.57
4,2701,2800,0.57
4,2801,2900,0.57
4,2901,3000,0.57
